Username,Overall,Attack,Defence,Strength,Constitution,Ranged,Prayer,Magic,Cooking,Woodcutting,Fletching,Fishing,Firemaking,Crafting,Smithing,Mining,Herblore,Agility,Thieving,Slayer,Farming,Runecrafting,Hunter,Construction,Summoning,Dungeoneering,Divination,Invention,Archaeology
0 Death 00,244,1,20,1,20,1,20,20,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,16,0,1
0 Good Bee,1726,99,75,71,85,43,64,46,46,66,63,50,55,80,99,46,54,83,52,99,39,39,47,38,41,41,80,26,99
0 LP,1502,99,99,99,99,99,62,99,58,56,25,99,60,51,41,54,19,36,38,24,19,30,31,19,40,62,56,0,27
0 Misty 1897,2473,99,99,99,99,99,95,99,75,81,73,72,99,99,85,94,120,80,68,120,67,71,73,57,99,68,82,120,81
0 XD,284,1,25,1,21,1,1,1,1,21,1,1,1,1,1,26,1,20,1,1,1,1,1,1,1,1,1,0,24
0 biobas 0,2050,80,70,71,75,64,72,81,71,76,76,70,76,80,83,81,72,88,73,68,64,66,84,76,80,76,81,32,64
006 Puffin,1510,60,87,60,84,81,75,84,58,77,1,16,48,75,1,62,87,41,99,64,53,52,36,68,22,38,57,0,1
01 kitty,329,1,1,1,1,1,1,1,46,1,1,1,1,1,1,1,47,40,99,1,1,1,1,1,1,1,1,0,39
066_cloud,2412,99,99,99,99,99,99,99,85,72,85,70,81,87,99,88,99,99,83,101,91,63,72,77,72,75,99,60,61
07 immigrant,1823,79,99,79,99,83,71,99,40,50,42,40,55,80,80,48,77,82,99,80,40,40,42,47,71,54,80,27,40
0G1swan,2471,99,99,99,99,99,99,99,67,81,78,68,83,99,99,99,99,99,69,99,85,64,79,93,99,75,80,101,62
0GZHADCASH,319,38,1,35,31,41,1,30,15,1,1,1,15,22,1,17,1,1,1,1,1,1,1,1,1,1,18,0,1
0WaysToDie,870,35,64,40,60,20,52,64,35,36,1,20,37,40,30,17,44,62,58,50,1,17,1,26,1,1,42,0,1
0blivion6644,2031,53,94,64,90,99,92,79,56,78,70,47,75,80,80,76,94,81,69,91,39,52,54,78,83,75,81,27,74
0ceanQueen9,1453,52,80,32,80,80,51,80,56,36,30,64,33,67,67,72,47,55,99,46,50,50,53,22,1,27,80,0,38
0h Hey There,2572,84,93,84,99,99,95,99,77,99,92,83,81,88,90,91,101,93,74,91,104,92,99,85,80,85,90,104,120
0livia-moore,1175,60,47,47,47,25,26,25,25,24,24,24,99,80,80,24,88,24,24,24,24,24,31,24,24,24,99,84,24
0mgimdead,2142,70,79,80,86,90,76,81,83,80,80,80,79,80,82,88,65,72,73,87,70,71,71,70,69,81,80,48,71
0nce,1904,99,99,99,99,53,99,89,57,45,52,53,68,80,80,47,71,75,53,73,66,56,52,66,75,63,80,21,34
0nlySam28,1483,65,65,65,67,61,54,65,65,53,58,62,51,57,58,55,59,62,58,63,57,40,44,60,51,37,27,0,23
0opsieDayZ,463,1,30,1,32,1,20,39,45,71,76,37,50,1,1,1,1,1,1,20,1,1,1,1,1,16,1,0,1
0rarelyfew,2276,95,92,88,99,85,99,99,61,62,67,72,63,80,80,63,99,76,99,99,77,61,73,73,99,99,99,44,73
0rc Blood,1407,30,99,30,96,63,94,99,36,20,33,21,36,80,80,33,94,56,32,64,1,16,1,1,71,36,80,51,47
0redolafsaw,1073,70,70,70,69,42,43,60,37,37,41,37,41,58,70,70,27,34,25,39,1,21,1,1,1,29,21,0,26
0reoSpacial,127,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0rkisz,2387,90,99,90,99,99,95,96,74,82,79,68,82,86,82,80,102,90,77,87,73,58,76,79,96,82,83,94,89
0rrax,2421,99,99,99,99,99,99,99,74,81,72,77,72,89,96,95,88,96,99,120,93,70,82,81,84,85,81,39,54
0shot,1876,99,99,99,99,99,63,99,59,58,56,64,57,72,70,82,46,63,60,62,59,52,51,62,56,61,80,0,48
0w0nofun,655,17,21,17,21,1,20,25,31,24,1,38,24,31,28,40,27,25,29,17,43,23,1,25,1,1,32,0,47
1 0 8 0 p,2266,99,99,99,99,99,99,99,43,81,77,69,71,86,81,90,99,81,77,88,77,56,74,75,78,76,81,49,64
1 CluePerLvl,1786,70,87,70,89,83,55,93,61,57,57,59,56,73,66,62,61,74,59,60,48,53,68,60,53,53,77,0,81
1 FSW,2056,70,99,70,97,90,72,99,69,73,70,70,76,70,70,71,84,70,99,65,75,70,70,70,68,70,75,0,73
1 Last Game,2052,99,96,90,99,77,72,99,64,99,67,60,67,80,80,60,68,72,60,75,64,60,77,69,70,62,80,22,64
1 Lost Rogue,640,20,20,1,23,18,22,16,41,31,28,35,31,32,30,30,65,48,1,20,1,1,1,61,1,1,46,0,1
1 Par4site,143,1,1,1,1,1,1,1,1,1,1,1,1,18,1,72,1,1,1,1,1,1,1,1,1,19,1,0,1
1 R D B,2008,99,99,99,99,99,76,99,65,60,39,65,66,81,80,64,62,70,57,120,62,51,44,58,99,67,80,0,47
1 Winter,2219,76,96,76,93,83,80,94,89,82,74,82,76,80,81,85,97,82,99,70,81,67,70,75,75,75,80,28,73
1 Yeroma,266,33,24,21,23,1,19,19,1,1,1,1,1,30,18,18,1,23,1,1,1,1,1,1,1,1,1,0,1
1 halo boi,725,30,19,30,27,38,43,24,1,23,1,1,16,69,58,64,38,44,62,1,1,1,34,1,1,1,73,0,1
10 Buckets,746,18,60,16,87,1,21,99,1,43,1,20,22,45,66,94,25,35,1,1,1,1,1,1,1,40,1,0,1
10 Metal 360,884,41,40,40,49,40,33,64,37,38,16,23,25,64,30,19,32,26,30,15,1,25,27,60,35,33,29,0,1
1000 BTC,899,1,53,1,52,49,48,55,27,26,24,15,29,37,37,24,56,58,28,58,1,24,28,39,1,26,21,0,38
101onu,158,1,25,1,23,1,1,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
10HP BDSL,267,1,1,1,1,1,1,1,1,48,1,1,1,1,43,43,1,27,1,1,1,1,1,1,1,1,46,0,23
10InchTim420,2206,80,85,80,87,85,92,90,76,87,80,76,76,82,83,83,81,90,80,84,73,70,76,77,78,77,82,32,64
10an_shark,279,24,27,24,25,1,1,1,1,40,27,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,0,1
10kGPto10bGP,127,1,1,1,1,1,1,17,1,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
10regrets,1963,51,72,51,69,75,75,67,67,77,73,69,73,89,78,83,79,80,91,63,57,65,77,78,76,75,75,0,77
10stonegiant,1969,80,99,63,99,84,86,99,47,66,63,42,65,80,80,72,52,54,62,120,72,55,72,64,62,66,80,29,56
10thmarch,1624,83,90,83,88,63,57,84,42,67,54,30,37,80,80,85,64,56,38,67,59,50,38,29,60,39,70,0,30
115354,1687,47,80,47,77,30,50,83,50,86,77,49,61,84,99,99,79,46,45,50,88,53,49,43,40,46,83,0,45
119394,2852,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,112,99,99,105,111,99,99,99,99,106,99,120,120
11angerhawk,2308,86,99,99,99,99,92,99,74,58,80,59,80,81,81,78,99,92,59,100,67,88,70,80,71,75,80,70,93
11bits,1053,1,33,1,44,20,45,56,39,76,68,29,44,35,64,33,72,44,99,35,37,30,30,26,1,1,59,0,1
